objUid,vehicleNum,driverNum,vehicleType,vehicleSpeed,vehicleCoor1,vehicleCoor2,vehicleDir,vehicleRoad,vehiclePath,vehicleDest,recordTime,conflictX,conflictY
CJ0001,V0001,d0001,clean,0,2199.89,2984.18,218.47,144,144 291 292 293 349 350 294 351 352 295 369 370 296 297 298 299 300 301 302,235,50.00 ,2104.85,2864.57
CJ0002,V0001,d0001,clean,1.3,2199.14,2983.24,218.47,144,144 291 292 293 349 350 294 351 352 295 369 370 296 297 298 299 300 301 302,235,45.00 ,2104.85,2864.57
CJ0003,V0001,d0001,clean,2.96,2197.44,2981.1,218.47,144,144 291 292 293 349 350 294 351 352 295 369 370 296 297 298 299 300 301 302,235,41.00 ,2104.85,2864.57
CJ0004,V0001,d0001,clean,4.93,2194.61,2977.54,218.47,144,144 291 292 293 349 350 294 351 352 295 369 370 296 297 298 299 300 301 302,235,38.00 ,2104.85,2864.57
CJ0005,V0001,d0001,clean,6.84,2190.68,2972.6,218.47,144,144 291 292 293 349 350 294 351 352 295 369 370 296 297 298 299 300 301 302,235,35.00 ,2104.85,2864.57
CJ0006,V0001,d0001,clean,9.31,2185.34,2965.87,218.47,144,144 291 292 293 349 350 294 351 352 295 369 370 296 297 298 299 300 301 302,235,33.00 ,2104.85,2864.57
CJ0007,V0001,d0001,clean,10.85,2179.11,2958.03,218.47,144,144 291 292 293 349 350 294 351 352 295 369 370 296 297 298 299 300 301 302,235,31.00 ,2104.85,2864.57
CJ0008,V0001,d0001,clean,13.07,2171.6,2948.58,218.47,144,144 291 292 293 349 350 294 351 352 295 369 370 296 297 298 299 300 301 302,235,25.00 ,2104.85,2864.57
CJ0009,V0001,d0001,clean,13.55,2163.83,2938.8,218.47,144,144 291 292 293 349 350 294 351 352 295 369 370 296 297 298 299 300 301 302,235,18.00 ,2104.85,2864.57
CJ0010,V0001,d0001,clean,14.21,2155.67,2928.52,218.47,144,144 291 292 293 349 350 294 351 352 295 369 370 296 297 298 299 300 301 302,235,15.00 ,2104.85,2864.57
CJ0011,V0001,d0001,clean,14.34,2147.43,2918.16,218.47,144,144 291 292 293 349 350 294 351 352 295 369 370 296 297 298 299 300 301 302,235,13.00 ,2104.85,2864.57
CJ0012,V0001,d0001,clean,14.51,2139.1,2907.68,218.47,144,144 291 292 293 349 350 294 351 352 295 369 370 296 297 298 299 300 301 302,235,10.00 ,2104.85,2864.57
CJ0013,V0001,d0001,clean,14.02,2131.05,2897.55,218.47,144,144 291 292 293 349 350 294 351 352 295 369 370 296 297 298 299 300 301 302,235,5.00 ,2104.85,2864.57
CJ0014,V0001,d0001,clean,13.72,2123.17,2887.63,218.47,144,144 291 292 293 349 350 294 351 352 295 369 370 296 297 298 299 300 301 302,235,0.00 ,2104.85,2864.57
